MYRON_COMPANY_CODE,orderno,ORD_REV_GRS_BOOK_W_OV,DATE_ENTERED,MYRON_ACCT,CODE_ENTRY_INITIALS
MY,116780826,217.98,7/2/20,13419794,43749
MY,116685108,218,6/18/20,11438806,42421
MY,116659962,218.4,6/12/20,13002095,43985
MY,116636978,218.51,6/9/20,29095736,43749
MY,116614488,218.95,6/4/20,17399972,43984
MY,116616376,218.95,6/4/20,13667466,43518
MY,116628470,218.95,6/8/20,11052099,42078
MY,116640988,218.95,6/10/20,24878584,43856
MY,116653049,218.95,6/11/20,29072728,41258
MY,116676867,218.95,6/17/20,12302177,43937
MY,116692245,218.95,6/19/20,18440931,43518
MY,116701715,218.95,6/22/20,12157008,43558
MY,116714494,218.95,6/23/20,21155481,44020
MY,116720236,218.95,6/24/20,6312140,41225
MY,116727207,218.95,6/24/20,11180368,43591
MY,116747395,218.95,6/26/20,20198815,43456
MY,116755612,218.95,6/29/20,7720395,43430
MY,116765041,218.95,6/30/20,8528787,43453
MY,116768425,218.95,6/30/20,10273430,43430
MY,116633009,219.07,6/8/20,13710425,42848
MY,116725136,219.07,6/24/20,27585925,44019
MY,116736810,219.07,6/25/20,19209161,43771
MY,116758228,219.07,6/29/20,28042922,43942
MY,116768771,219.07,6/30/20,13395167,42848
MY,116775297,219.07,7/1/20,17914588,44026
MY,116651290,219.45,6/11/20,6836083,41247
MY,116687369,219.45,6/18/20,12198346,43858
MY,116688318,219.45,6/18/20,6052953,43430
MY,116696238,219.45,6/19/20,12283306,43591
MY,116721317,219.45,6/24/20,12199521,41132
MY,116631359,219.95,6/8/20,8851052,42613
MY,116713256,219.95,6/23/20,10036233,43453
MY,116720657,219.95,6/24/20,23439272,42980
MY,116747262,219.95,6/26/20,20198815,43456
MY,116684432,220.02,6/18/20,6152382,43985
MY,116607706,220.08,6/3/20,28511898,41258
MY,116607938,220.08,6/3/20,13737127,42959
MY,116608001,220.08,6/3/20,7647596,44014
MY,116609553,220.08,6/3/20,6920500,42708
MY,116610973,220.08,6/3/20,29108812,43984
