MYRON_COMPANY_CODE,MYRON_ACCT,ORDER,ORDER_WEEK,PS_WEEK,orders,bookings,CODE_ORDER_STATUS,DATE_PROMISED_SHIP,PRODUCT_PLATFORM,PRODUCT_PLATFORM_GROUP,YRSTRADED,OPENINGPLATFORM,SEGMENTSHORTDESC,STATUS,SHIPPING_STATE,PSD_TYPE,CODE_ORDER_STATUS2,paymentytype,rddesc,PROD_AVAIL_DATE_ISO,PROMISED_SHIP_DATE_ISO,NonDated_bookings,Non Dated Orders
MY,6068730,115700429,3,27,1,917.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PA,Fu,PP,WI,WIRE PAYMENT                  ,5/12/20,7/1/20,,0
MY,6078546,115793952,4,27,1,917.45,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,CA,Fu,PP,AX,American Express payment      ,5/12/20,7/1/20,,0
MY,6512066,115535742,1,27,1,911.52,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,AL,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,10876549,115915100,6,27,1,897.87,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,11752848,116393604,15,27,1,888.4,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,KY,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,5726799,115794463,4,27,1,886.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,16343968,115566457,2,27,1,886.2,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7058695,116252347,11,27,1,883.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MI,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,6049803,115562084,2,27,1,882.59,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,9835742,115562282,2,27,1,879.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,AR,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,8661107,115811788,4,27,1,877.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,OH,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6768198,115826950,4,27,1,877.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,CA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14282664,115659237,3,27,1,873.6,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NY,Fu,PP,NULL,NULL,5/12/20,7/1/20,,0
MY,9848866,115840852,5,27,1,867.3,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,TX,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,2800985,115596256,2,27,1,867.19,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,26310334,115851867,5,27,1,864.95,PP,7/1/20,DTD01,DATED,5,Wall Cal,Repeat,Active,AZ,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,7019346,116117052,9,27,1,857.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6543930,115551137,1,27,1,857.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14139123,115699688,3,27,1,854.7,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,AL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,10072480,115625048,2,27,1,853.95,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,MI,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,6144494,115704520,3,27,1,848.35,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,9648760,115618456,2,27,1,844.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MI,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,9748200,115571168,2,27,1,843.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,TX,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,12751129,115520405,1,27,1,842.1,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,9936324,116094863,8,27,1,841.45,PP,7/1/20,DTD01,DATED,8,Dated,Repeat,Active,IN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6187005,115520199,1,27,1,841.05,PP,7/1/20,DTD01,DATED,9,Dated,Cross,Active,GA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6268768,115636011,2,27,1,841.05,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14022877,115704249,3,27,1,836.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,4847323,116309519,12,27,1,832.45,PP,7/1/20,DTD01,DATED,9,Wall Cal,Repeat,Active,NJ,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,4781209,115523607,1,27,1,829.9,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,PA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
